x,y,z,phi_pg,di
0.00000000e+00,7.14285714e-01,5.71428571e-01,1.90565903e-01,5.33050578e-01
0.00000000e+00,7.14285714e-01,6.42857143e-01,4.32008999e-01,5.33050578e-01
0.00000000e+00,7.14285714e-01,7.14285714e-01,1.83393104e-01,5.33050578e-01
0.00000000e+00,7.14285714e-01,7.85714286e-01,2.69668001e-01,5.33050578e-01
0.00000000e+00,7.14285714e-01,8.57142857e-01,3.44359739e-01,5.33050578e-01
0.00000000e+00,7.14285714e-01,9.28571429e-01,2.65801632e-01,5.33050578e-01
0.00000000e+00,7.14285714e-01,1.00000000e+00,1.66976862e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,0.00000000e+00,1.78952759e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,7.14285714e-02,2.66932248e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,1.42857143e-01,2.49243017e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,2.14285714e-01,1.93006536e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,2.85714286e-01,1.71654282e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,3.57142857e-01,2.43058498e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,4.28571429e-01,1.88097201e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,5.00000000e-01,1.85658900e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,5.71428571e-01,1.85708804e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,6.42857143e-01,1.90726973e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,7.14285714e-01,1.95722650e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,7.85714286e-01,2.84997712e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,8.57142857e-01,1.88894270e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,9.28571429e-01,1.59829932e-01,5.33050578e-01
0.00000000e+00,7.85714286e-01,1.00000000e+00,2.06651513e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,0.00000000e+00,2.36468466e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,7.14285714e-02,2.06427167e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,1.42857143e-01,1.92275983e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,2.14285714e-01,2.01888742e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,2.85714286e-01,2.45203665e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,3.57142857e-01,2.06997045e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,4.28571429e-01,1.79353229e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,5.00000000e-01,1.62263627e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,5.71428571e-01,2.14833858e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,6.42857143e-01,2.12622758e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,7.14285714e-01,2.04684042e-01,5.33050578e-01
