label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
22543,-37.437492,-67.696571,32.277073,-5.7796621e-09,-1.7530666e-09,1.5705677e-09,6.2405464e-09,BULK,BULK
22544,-46.776131,-61.728832,34.797474,0.00010154147,-1.4639219e-05,1.0146565e-05,0.00010309185,BULK,BULK
22545,-46.751144,-62.183262,34.705116,0.00010061585,-3.1949808e-06,1.2160854e-05,0.00010139844,BULK,BULK
22546,-40.460461,-63.626411,21.163158,8.2823412e-05,-1.6859232e-05,6.0337334e-05,0.00010384866,BULK,BULK
22547,-40.490475,-64.071533,21.263952,8.5755659e-05,1.3886994e-06,5.6091387e-05,0.00010248027,BULK,BULK
22548,-40.687031,-63.74226,21.528879,8.6141627e-05,-1.0254636e-05,5.5771794e-05,0.00010313113,BULK,BULK
22549,-36.745983,-59.042995,30.404402,-7.15969e-05,-7.1641567e-05,1.1247388e-05,0.00010190748,BULK,BULK
22550,-37.081181,-58.761642,30.404896,-5.7620306e-05,-8.1393497e-05,1.5141455e-05,0.00010086756,BULK,BULK
22551,-42.982113,-66.660904,30.858303,7.1608025e-05,4.3865941e-05,4.433795e-05,9.4962013e-05,BULK,BULK
22552,-44.118553,-68.256859,36.899178,9.7850052e-06,-2.6415279e-05,-1.2251791e-05,3.0718393e-05,BULK,BULK
22553,-44.474365,-67.951767,36.845692,2.8708682e-05,-6.2005151e-05,-2.8094821e-05,7.3879267e-05,BULK,BULK
22554,-38.588371,-63.543873,25.803349,-7.3834343e-08,-1.892754e-07,7.853431e-07,8.1119694e-07,BULK,BULK
22555,-38.534027,-63.539562,25.440451,-6.321379e-08,-7.2089435e-08,3.8970083e-07,4.0132232e-07,BULK,BULK
22556,-38.488117,-68.789017,22.028917,9.5061296e-05,-1.5533728e-06,5.5266377e-05,0.00010997016,BULK,BULK
22557,-38.393734,-68.400475,21.712502,9.0658781e-05,-1.2701941e-05,5.6367586e-05,0.00010750655,BULK,BULK
22558,-42.069462,-67.999847,30.480505,3.9222352e-05,-3.7724312e-05,1.6104193e-05,5.6752636e-05,BULK,BULK
22559,-36.583076,-59.014404,31.666058,-7.5541313e-05,-6.5124426e-05,1.3650351e-05,0.00010066783,BULK,BULK
22560,-37.228317,-69.469337,20.532169,8.2170955e-05,-2.4218672e-05,6.714795e-05,0.00010884602,BULK,BULK
22561,-37.333607,-67.159767,21.576027,5.4605407e-05,-7.3746356e-05,4.6502773e-05,0.00010287266,BULK,BULK
22562,-39.455017,-65.728638,21.850012,6.2082154e-06,-2.5050733e-06,3.9724655e-06,7.7844597e-06,BULK,BULK
22563,-39.321972,-65.714577,22.265606,3.1633465e-06,2.1354641e-08,1.7603124e-06,3.6202095e-06,BULK,BULK
22564,-41.421368,-65.132545,24.752705,1.4667933e-05,-1.3439258e-05,4.4942758e-06,2.0395108e-05,BULK,BULK
22565,-38.444202,-57.63958,34.926949,-3.5832603e-05,-9.2490562e-05,-9.6803969e-06,9.9660371e-05,BULK,BULK
22566,-38.119461,-57.734161,34.683987,-4.1004812e-05,-9.1648959e-05,-8.8782954e-06,0.00010079559,BULK,BULK
22567,-38.539165,-57.604977,34.532688,-3.0987765e-05,-9.4001785e-05,-1.4974648e-06,9.8988987e-05,BULK,BULK
22568,-36.312748,-60.775703,36.305882,-7.8409219e-05,-3.7715683e-05,-4.3056298e-05,9.7078953e-05,BULK,BULK
22569,-37.532833,-65.665855,20.486456,9.30292e-07,6.1030744e-07,1.6593807e-06,1.9978645e-06,BULK,BULK
22570,-37.526463,-65.664658,20.128838,1.6917176e-06,5.3462867e-07,2.972015e-06,3.4613016e-06,BULK,BULK
22571,-35.549953,-62.593975,36.25964,-8.7024018e-05,-2.8640725e-05,-3.6130139e-05,9.8482779e-05,BULK,BULK
22572,-44.287735,-65.531937,31.93153,6.8699766e-05,4.0438368e-05,4.4600423e-05,9.134614e-05,BULK,BULK
22573,-34.770954,-64.951385,30.854738,-3.8185499e-06,-2.2155871e-05,8.4623234e-06,2.4022383e-05,BULK,BULK
22574,-36.543053,-65.940582,23.485966,2.8536002e-05,-9.056463e-05,3.8893941e-05,0.00010261089,BULK,BULK
22575,-36.755802,-66.183586,23.345182,3.3458116e-05,-8.3956285e-05,3.6992184e-05,9.7655133e-05,BULK,BULK
22576,-40.514397,-66.943558,27.159048,8.3830499e-05,1.1580631e-05,4.7953145e-05,9.7268533e-05,BULK,BULK
22577,-36.862457,-59.307453,25.935829,-3.4475906e-05,-9.803359e-05,1.8075905e-05,0.00010547944,BULK,BULK
22578,-36.439899,-59.537361,25.817217,-5.6520221e-05,-8.9521098e-05,1.4991486e-05,0.00010692664,BULK,BULK
22579,-33.750767,-68.129753,21.606388,-9.3962362e-06,-6.3434811e-05,4.3718639e-05,7.7611751e-05,BULK,BULK
22580,-34.662052,-68.529961,25.239075,-1.0401606e-06,-7.5321117e-07,2.7935309e-07,1.3142675e-06,BULK,BULK
22581,-44.202969,-59.322979,33.481785,4.8125454e-05,-7.7375931e-05,3.3983266e-05,9.7252025e-05,BULK,BULK
22582,-34.919872,-64.206993,35.031807,-8.7236285e-06,-5.5410455e-05,-2.2238586e-05,6.0340492e-05,BULK,BULK
22583,-34.992947,-63.888554,35.399204,-8.1130158e-05,-5.827906e-05,-3.6771482e-05,0.00010644573,BULK,BULK
22584,-34.965832,-64.39241,35.438412,-7.3679425e-06,-5.4069125e-05,-2.266073e-05,5.9086932e-05,BULK,BULK
22585,-36.302132,-67.548836,35.085262,-4.1760092e-08,6.6361197e-09,-5.5379111e-08,6.9676318e-08,BULK,BULK
22586,-38.304665,-68.297714,35.257019,2.2979167e-09,3.4586594e-09,-3.7987764e-08,3.8214041e-08,BULK,BULK
22587,-39.417473,-62.474415,21.098724,4.8519167e-05,-6.7981746e-05,5.5914556e-05,0.00010050903,BULK,BULK
22588,-39.043869,-62.464588,20.848034,4.1100029e-05,-6.9775677e-05,5.6401121e-05,9.8686088e-05,BULK,BULK
22589,-36.219578,-65.084045,37.458843,-4.1504054e-06,-2.7485619e-05,-9.5509356e-05,9.9472219e-05,BULK,BULK
