label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
49372,-37.898388,-58.59269,27.466135,6.0692596e-06,-9.4118353e-05,1.5902038e-05,9.5645048e-05,T30,OUTER
49373,-38.39949,-60.714935,22.349388,2.946375e-05,-7.7166107e-05,4.7685338e-05,9.5376161e-05,T30,OUTER
49374,-38.701767,-60.720436,22.646341,3.7217826e-05,-7.6563636e-05,4.1407973e-05,9.4666663e-05,T30,OUTER
49375,-34.645966,-62.555874,34.672894,-9.2709619e-05,-2.5984033e-05,-1.3635974e-05,9.7242908e-05,T30,OUTER
49376,-42.649685,-69.323662,34.644798,2.4836038e-07,-1.6022176e-07,-9.4176876e-08,3.101986e-07,T30,APPROX
49377,-43.035042,-69.099434,34.393486,4.2289165e-07,-3.4463807e-07,-2.8834876e-08,5.4630046e-07,T30,APPROX
49378,-37.264004,-57.576435,34.066528,-4.8677564e-05,-8.2626422e-05,-2.8103784e-06,9.5940237e-05,T30,OUTER
49379,-37.606361,-57.446796,34.397419,-4.1624728e-05,-8.5607964e-05,-4.1373601e-06,9.5280949e-05,T30,OUTER
49380,-37.133739,-57.686897,34.55405,-5.124748e-05,-8.0599581e-05,-1.0006149e-05,9.6034991e-05,T30,OUTER
49381,-39.035213,-59.244308,26.774569,4.5142991e-05,-8.2417297e-05,2.1808321e-05,9.6468147e-05,T30,OUTER
49382,-38.578384,-58.906963,26.857435,3.4149743e-05,-8.8595029e-05,1.7162231e-05,9.6487441e-05,T30,OUTER
49383,-44.141411,-66.003166,37.361271,3.1649586e-05,-1.8748815e-05,-8.8619054e-05,9.5950774e-05,T30,OUTER
49384,-43.883575,-66.276352,37.476974,2.8666982e-05,-1.7075185e-05,-8.9407054e-05,9.5430494e-05,T30,OUTER
49385,-40.011024,-68.893852,27.361679,6.2043296e-06,-8.6747305e-06,3.4094865e-06,1.1196841e-05,T30,APPROX
49386,-40.078876,-68.885223,27.798218,5.9994973e-06,-7.7304203e-06,2.9658756e-06,1.0224959e-05,T30,APPROX
49387,-40.475067,-68.533104,27.433668,6.5248173e-06,-9.4516481e-06,5.51127e-06,1.2738956e-05,T30,APPROX
49388,-42.963997,-57.800732,34.537323,4.6349469e-05,-8.0350314e-05,1.7199553e-05,9.4341246e-05,T30,OUTER
49389,-43.189274,-58.024776,34.20166,4.6421344e-05,-7.9802543e-05,1.9794206e-05,9.4420325e-05,T30,OUTER
49390,-33.772362,-68.119247,25.086948,-1.3306461e-06,-5.3934205e-06,2.2205872e-06,5.9825255e-06,T30,APPROX
49391,-41.088181,-65.714729,26.442253,3.6647e-06,-7.0639953e-07,6.2117789e-07,3.7835021e-06,T30,APPROX
49392,-40.964802,-65.764221,26.750566,4.929811e-06,-6.2694716e-07,9.9394036e-08,4.9705109e-06,T30,APPROX
49393,-35.111862,-67.857002,28.333714,-3.787718e-07,-3.5469836e-07,1.016457e-07,5.2878242e-07,T30,APPROX
49394,-35.25005,-68.113228,27.922585,-3.3122538e-07,-2.6146628e-07,8.5248701e-08,4.3051389e-07,T30,APPROX
49395,-34.722946,-67.764503,27.900921,-7.2862639e-07,-7.6492159e-07,2.537449e-07,1.0864566e-06,T30,APPROX
49396,-37.532524,-59.034615,24.99312,1.8315841e-06,-9.1077585e-05,3.0613643e-05,9.6102426e-05,T30,OUTER
49397,-35.378754,-66.666344,31.465504,-3.3649954e-07,-5.16927e-07,8.7892261e-08,6.2303332e-07,T30,APPROX
49398,-35.678329,-67.030762,31.233688,-2.038491e-07,-2.4716365e-07,5.1879091e-08,3.2455472e-07,T30,APPROX
49399,-37.407639,-57.513828,33.668774,-4.5368561e-05,-8.5227395e-05,1.7527235e-07,9.6550743e-05,T30,OUTER
49400,-37.305458,-57.571857,33.266193,-4.3979708e-05,-8.5508815e-05,7.0271435e-06,9.641241e-05,T30,OUTER
49401,-43.348835,-60.495853,37.484005,9.2929004e-06,-1.0995104e-05,-1.0046068e-05,1.755488e-05,T30,APPROX
49402,-38.117649,-67.753609,37.743732,2.21917e-06,-2.3018297e-06,-8.9957894e-07,3.3215023e-06,T30,APPROX
49403,-38.219028,-64.932877,38.062786,1.3638478e-05,-4.1954559e-06,-9.4912226e-05,9.5978855e-05,T30,OUTER
49404,-37.834244,-64.613426,38.052135,3.2642654e-06,2.076338e-06,-8.3257226e-05,8.3347059e-05,T30,OUTER
49405,-44.715981,-67.901627,34.015697,5.2212818e-06,-8.2462566e-06,-2.6554551e-06,1.0115037e-05,T30,APPROX
49406,-44.283401,-67.914223,33.634586,3.9389211e-06,-5.4966213e-06,-2.8261024e-07,6.7681469e-06,T30,APPROX
49407,-44.332333,-68.21106,34.052853,3.814444e-06,-4.384216e-06,-7.0892366e-07,5.854392e-06,T30,APPROX
49408,-46.08646,-65.850548,34.480751,8.6874468e-05,3.5960689e-05,1.1552916e-05,9.4730218e-05,T30,OUTER
49409,-35.400063,-62.500256,24.063282,-1.9816512e-06,-7.2080875e-06,3.669518e-06,8.3275944e-06,T30,APPROX
49410,-35.413601,-62.306351,24.421951,-1.7216323e-06,-7.4684408e-06,3.5132846e-06,8.4311799e-06,T30,APPROX
49411,-35.715172,-62.799923,24.394547,-1.9887086e-06,-3.1050372e-06,1.2842163e-06,3.9045396e-06,T30,APPROX
49412,-36.991158,-64.817535,25.461527,3.0117339e-05,-8.1338243e-05,3.9413968e-05,9.5270272e-05,T30,OUTER
49413,-36.655815,-64.7929,25.118055,2.4973935e-05,-8.4438972e-05,3.621346e-05,9.5210567e-05,T30,OUTER
49414,-37.19273,-65.055611,25.079996,3.5567704e-05,-8.2583218e-05,3.5390276e-05,9.6630849e-05,T30,OUTER
49415,-43.945274,-68.258858,33.813602,2.3148402e-06,-2.5607201e-06,9.6855501e-08,3.4532816e-06,T30,APPROX
49416,-43.653271,-68.549568,33.984661,1.3333085e-06,-1.2254495e-06,9.9412205e-08,1.8136485e-06,T30,APPROX
49417,-41.810276,-64.452835,23.005386,8.8344204e-05,2.1578264e-05,3.8513877e-05,9.8760512e-05,T30,OUTER
49418,-41.675659,-64.253777,22.549633,8.6239299e-05,1.6720549e-05,4.3002678e-05,9.7806052e-05,T30,OUTER
49419,-36.127777,-64.650658,25.159246,8.1288717e-06,-8.6010827e-05,3.9027029e-05,9.4800052e-05,T30,OUTER
49420,-35.843937,-64.71888,24.881699,2.1806028e-07,-8.8422625e-05,3.4060951e-05,9.4756301e-05,T30,OUTER
49421,-33.836929,-69.379791,22.514751,-1.9178797e-06,-3.4288448e-06,1.6702562e-06,4.2690743e-06,T30,APPROX
49422,-34.048702,-69.392395,22.925671,-1.4091755e-06,-2.1088547e-06,9.5019595e-07,2.7084896e-06,T30,APPROX
49423,-34.221291,-69.752991,22.617018,-1.1926716e-06,-1.3519077e-06,5.7922e-07,1.8935722e-06,T30,APPROX
49424,-40.052139,-63.063087,37.081623,8.1818143e-06,-1.374561e-06,-9.8952914e-06,1.2913106e-05,T30,APPROX
49425,-44.973106,-59.12886,33.748123,5.0092884e-05,-7.5023891e-05,2.9172548e-05,9.4809908e-05,T30,OUTER
49426,-45.202812,-59.141758,34.1007,5.0233975e-05,-7.8245474e-05,2.0279584e-05,9.5168629e-05,T30,OUTER
49427,-36.645306,-67.229073,19.756929,3.8768823e-05,-6.61991e-05,5.8580379e-05,9.6524625e-05,T30,OUTER
49428,-36.948032,-67.789322,19.483152,5.0483086e-05,-4.9496415e-05,6.5148073e-05,9.6139006e-05,T30,OUTER
49429,-39.979122,-65.850311,26.562433,5.1842755e-05,-4.8744394e-05,4.8615304e-05,8.6180827e-05,T30,OUTER
49430,-40.377789,-66.146538,26.605108,6.612773e-05,-3.535215e-05,4.559397e-05,8.775797e-05,T30,OUTER
49431,-36.561142,-67.703949,32.608128,-2.9227978e-08,-2.9186401e-08,4.9839457e-09,4.1604812e-08,T30,APPROX
49432,-34.573078,-62.734856,33.639397,-9.439222e-05,-2.6327121e-05,9.8710291e-07,9.7999913e-05,T30,OUTER
49433,-34.514042,-62.980217,34.028393,-9.6921249e-05,-1.9337343e-05,-1.9229456e-06,9.8850185e-05,T30,OUTER
49434,-38.747475,-64.367722,25.277388,-6.376937e-08,5.9497701e-08,2.6735557e-07,2.8122146e-07,T30,APPROX
49435,-38.860542,-65.548988,26.224472,3.9015158e-05,-7.0887574e-05,4.5524346e-05,9.2842322e-05,T30,OUTER
49436,-38.752388,-65.385986,26.446857,3.4882774e-05,-6.5078108e-05,5.1317518e-05,8.9919162e-05,T30,OUTER
49437,-36.59177,-58.360455,31.510492,-6.1200044e-05,-7.0768547e-05,1.6076934e-05,9.4932083e-05,T30,OUTER
49438,-36.989017,-64.092064,26.539627,1.5251338e-05,-7.4269527e-05,6.1125291e-05,9.7390282e-05,T30,OUTER
49439,-36.663792,-64.117577,26.347031,1.1571553e-05,-7.9920035e-05,5.4127591e-05,9.7215786e-05,T30,OUTER
49440,-39.399586,-62.793484,19.800526,4.9716953e-05,-5.1486259e-05,6.6524757e-05,9.7714654e-05,T30,OUTER
49441,-35.286285,-62.943665,23.398188,-2.1283849e-06,-6.1989704e-06,3.649468e-06,7.5017247e-06,T30,APPROX
49442,-35.353813,-62.708691,23.727758,-2.0713826e-06,-6.8205727e-06,3.6519857e-06,8.0092345e-06,T30,APPROX
